familia,parametros,auc,auc_desvio,log_loss,log_loss_desvio,brier
regressão logística,"{""C"": 0.001}",0.8312035155018181,0.014409614452916763,0.5360587350444586,0.00995609149698682,0.1759650910826997
regressão logística,"{""C"": 0.003593813663804626}",0.8585305801358052,0.010854828136657599,0.4819639127280101,0.012361978948470484,0.15521466961378644
regressão logística,"{""C"": 0.01291549665014884}",0.878345573166903,0.00933401384307526,0.44232492088420905,0.012757592627934024,0.14154283099159665
regressão logística,"{""C"": 0.046415888336127795}",0.8867187082059331,0.008930876944536602,0.42180653559392844,0.012720740032532698,0.1349610153380449
regressão logística,"{""C"": 0.1668100537200059}",0.8885670816164941,0.008477120163745354,0.41600168673173543,0.012793107574554383,0.13334564933918394
regressão logística,"{""C"": 0.5994842503189409}",0.8886036192315461,0.00840089208178965,0.4159417783513211,0.01309237118262935,0.1334090078874505
regressão logística,"{""C"": 2.1544346900318843}",0.8882479089061757,0.009042445985529746,0.41683250893267143,0.014036392582358753,0.1336672304720114
regressão logística,"{""C"": 7.742636826811277}",0.8882167511862958,0.009206829872078819,0.4175480652630544,0.014678190429682849,0.13377048435800282
regressão logística,"{""C"": 27.825594022071257}",0.8880430667919814,0.009533697398511643,0.41803396329106846,0.01531215077889228,0.13384002186310495
regressão logística,"{""C"": 100.0}",0.8881295654016664,0.009662403288990538,0.4181312123952359,0.015431871931215101,0.1338143024823832
gradient boosting,"{""min_samples_leaf"": 10, ""max_leaf_nodes"": 63, ""max_iter"": 400, ""learning_rate"": 0.05, ""l2_regularization"": 10.0}",0.8930507048015226,0.010892492511304034,0.4376552916376829,0.029677143500597632,0.13853091925972139
gradient boosting,"{""min_samples_leaf"": 10, ""max_leaf_nodes"": 15, ""max_iter"": 400, ""learning_rate"": 0.1, ""l2_regularization"": 0.1}",0.8919206675726127,0.009636152464550412,0.4544329588099993,0.030097418994618867,0.1396233891504633
gradient boosting,"{""min_samples_leaf"": 10, ""max_leaf_nodes"": 7, ""max_iter"": 100, ""learning_rate"": 0.05, ""l2_regularization"": 10.0}",0.8949214573027792,0.007620129121651679,0.40837806432733154,0.01186179702996194,0.12992430196775534
gradient boosting,"{""min_samples_leaf"": 50, ""max_leaf_nodes"": 7, ""max_iter"": 200, ""learning_rate"": 0.1, ""l2_regularization"": 10.0}",0.8958773441381908,0.009297398065711067,0.40253500843224693,0.016239420590666437,0.12992449738645612
gradient boosting,"{""min_samples_leaf"": 20, ""max_leaf_nodes"": 31, ""max_iter"": 400, ""learning_rate"": 0.05, ""l2_regularization"": 1.0}",0.8921503460620039,0.00996822857827741,0.4435324048241974,0.027521779457216167,0.1394227127715022
gradient boosting,"{""min_samples_leaf"": 10, ""max_leaf_nodes"": 63, ""max_iter"": 100, ""learning_rate"": 0.02, ""l2_regularization"": 0.1}",0.8890368224488201,0.006520594421467977,0.4232032343463109,0.010965605913153015,0.13492596444098867
gradient boosting,"{""min_samples_leaf"": 20, ""max_leaf_nodes"": 7, ""max_iter"": 100, ""learning_rate"": 0.1, ""l2_regularization"": 0.0}",0.8962392473585619,0.00855451915811084,0.40233885087355564,0.013662113454161356,0.12918493459233765
gradient boosting,"{""min_samples_leaf"": 10, ""max_leaf_nodes"": 7, ""max_iter"": 100, ""learning_rate"": 0.2, ""l2_regularization"": 0.1}",0.8938774910337948,0.010050198171872816,0.4071776213447845,0.019468067304733095,0.13153858422449283
gradient boosting,"{""min_samples_leaf"": 10, ""max_leaf_nodes"": 31, ""max_iter"": 400, ""learning_rate"": 0.2, ""l2_regularization"": 1.0}",0.8865462781471972,0.011107162098310648,0.647281390583106,0.06396336509547337,0.15929643859509693
gradient boosting,"{""min_samples_leaf"": 10, ""max_leaf_nodes"": 15, ""max_iter"": 100, ""learning_rate"": 0.2, ""l2_regularization"": 0.0}",0.8921657896439342,0.009638254842791702,0.42198733642989056,0.02167327434156113,0.1344818683856967
gradient boosting,"{""min_samples_leaf"": 100, ""max_leaf_nodes"": 31, ""max_iter"": 400, ""learning_rate"": 0.05, ""l2_regularization"": 10.0}",0.8942759956963233,0.009787356838020716,0.41089456829113463,0.019748449119155062,0.13276795741762254
gradient boosting,"{""min_samples_leaf"": 10, ""max_leaf_nodes"": 15, ""max_iter"": 200, ""learning_rate"": 0.02, ""l2_regularization"": 0.1}",0.896255205531701,0.006001976432733812,0.4040576110092854,0.010100513155140949,0.12928257066027635
random forest,"{""n_estimators"": 200, ""min_samples_leaf"": 10, ""max_features"": 0.3, ""max_depth"": 8}",0.8960936393900045,0.008215757596732733,0.4060351711464518,0.011676495716001788,0.13015383809964684
random forest,"{""n_estimators"": 400, ""min_samples_leaf"": 20, ""max_features"": 0.3, ""max_depth"": 8}",0.8955881810541758,0.008873011337149447,0.4093165245161023,0.012095785058384831,0.13103348259968456
random forest,"{""n_estimators"": 200, ""min_samples_leaf"": 10, ""max_features"": ""sqrt"", ""max_depth"": null}",0.894815421449642,0.008763339695985065,0.4162530136702494,0.01115585092871259,0.13272269436206133
random forest,"{""n_estimators"": 400, ""min_samples_leaf"": 10, ""max_features"": 0.5, ""max_depth"": 8}",0.895560468489807,0.0077912066660163,0.40231653412663837,0.011765552987523827,0.12984585564868034
random forest,"{""n_estimators"": 200, ""min_samples_leaf"": 20, ""max_features"": 0.5, ""max_depth"": null}",0.8953659576523165,0.008085484182557135,0.4028886888171484,0.011837548500566767,0.13011668887650796
random forest,"{""n_estimators"": 200, ""min_samples_leaf"": 10, ""max_features"": ""sqrt"", ""max_depth"": 12}",0.8945566177045154,0.008611347067886549,0.4175547419169686,0.011610861506301853,0.13313741784701066
random forest,"{""n_estimators"": 400, ""min_samples_leaf"": 5, ""max_features"": 0.3, ""max_depth"": 12}",0.8968339676359356,0.00798339419044436,0.4008797995894556,0.010756831272271618,0.12924144070197302
random forest,"{""n_estimators"": 200, ""min_samples_leaf"": 2, ""max_features"": 0.3, ""max_depth"": null}",0.8951109646065181,0.006844487512083984,0.4029056648570716,0.0093214783792696,0.1301869776320651
random forest,"{""n_estimators"": 200, ""min_samples_leaf"": 2, ""max_features"": 0.3, ""max_depth"": 8}",0.8965761014161535,0.008041590077059844,0.4040118300549671,0.011760403350504602,0.12962266422097138
random forest,"{""n_estimators"": 400, ""min_samples_leaf"": 20, ""max_features"": 0.3, ""max_depth"": 20}",0.8957530648921569,0.008309162122782727,0.40729727523792103,0.011382375690141704,0.1306554355218334
