,piora_log_loss,piora_auc,papel
rede_taxa_ant,0.1453528317028504,0.1066053010314224,ponto de partida
sigla_uf,0.07659344219234829,0.054712899237965205,ponto de partida
uf_rede_taxa_ant,0.06109645682311009,0.03290934000036906,ponto de partida
nome_regiao,0.015061564274885452,0.00728499732457516,ponto de partida
mun_participacao_ant,0.012382719911611767,0.007286842445153796,ponto de partida
esc_inse_medio,0.0091947118847506,0.0034224680332859635,alavanca
mun_populacao,0.00873625382569398,0.004513395575400902,alavanca
mun_pct_maes_adolescentes,0.007823868890999291,0.0038104046349429098,alavanca
mun_densidade_demografica,0.004299616108884347,0.002055464324593648,alavanca
esc_pct_quadra,0.004067400593971282,0.002575788327767259,alavanca
mun_pct_vulner_deslocamento_1h,0.0035007229638769344,0.0013460154621104726,alavanca
esc_pct_docentes_alto_esforco,0.0026777628675214438,0.0013264110559625287,alavanca
esc_horas_aula_diarias,0.0024679615334883775,0.0011423602782441589,alavanca
mun_idade_mediana,0.0023901358844417133,0.0007274387881247679,alavanca
esc_pct_biblioteca_ou_sala_leitura,0.0021233988247260195,0.0008462184253741345,alavanca
mun_indice_pre_escola,0.000662971912148036,0.00019973430263670044,alavanca
