id_municipio,nome,sigla_uf,rede_nome,alunos,prob_bater_meta,taxa_real,bateu_meta
1100155,Ouro Preto do Oeste,RO,Municipal,362,90.9,66.4,1
1100338,Nova Mamoré,RO,Municipal,404,53.1,45.3,0
1100601,Cacaulândia,RO,Municipal,68,77.1,78.9,1
1100908,Castanheiras,RO,Municipal,50,90.7,65.4,1
1101203,Ministro Andreazza,RO,Municipal,82,92.0,69.2,1
1101492,São Francisco do Guaporé,RO,Municipal,264,74.9,63.0,1
1101807,Vale do Paraíso,RO,Municipal,78,73.1,44.1,0
1200336,Mâncio Lima,AC,Municipal,215,19.6,38.1,0
1200351,Marechal Thaumaturgo,AC,Municipal,136,17.8,62.8,1
1200500,Sena Madureira,AC,Estadual,23,17.6,65.5,1
1200500,Sena Madureira,AC,Municipal,459,18.3,64.8,1
1200807,Porto Acre,AC,Municipal,236,26.9,39.7,0
1300060,Amaturá,AM,Municipal,176,17.5,64.6,1
1300201,Atalaia do Norte,AM,Municipal,164,11.5,84.1,1
1301209,Coari,AM,Estadual,498,34.4,47.8,0
1301209,Coari,AM,Municipal,434,6.7,32.7,0
1301506,Envira,AM,Estadual,96,75.4,82.2,1
1301506,Envira,AM,Municipal,138,14.4,19.3,0
1301803,Ipixuna,AM,Estadual,41,73.2,70.7,1
1301803,Ipixuna,AM,Municipal,207,6.9,63.3,1
1301902,Itacoatiara,AM,Estadual,251,80.5,75.8,1
1301902,Itacoatiara,AM,Municipal,897,7.4,42.7,0
1301951,Itamarati,AM,Estadual,15,72.5,86.7,1
1301951,Itamarati,AM,Municipal,105,33.2,82.2,1
1302405,Lábrea,AM,Estadual,149,76.0,71.0,1
1302405,Lábrea,AM,Municipal,318,16.7,66.9,1
1302504,Manacapuru,AM,Estadual,250,64.5,47.5,0
1302504,Manacapuru,AM,Municipal,1030,10.2,37.3,0
1302702,Manicoré,AM,Estadual,206,44.2,69.4,1
1302702,Manicoré,AM,Municipal,351,12.7,57.0,0
1303536,Presidente Figueiredo,AM,Municipal,450,4.8,33.7,0
1303700,Santo Antônio do Içá,AM,Estadual,68,72.9,63.3,1
1303700,Santo Antônio do Içá,AM,Municipal,487,19.8,37.9,0
1304302,Urucará,AM,Estadual,26,74.1,80.8,1
1304302,Urucará,AM,Municipal,154,17.0,73.9,1
1304401,Urucurituba,AM,Estadual,39,7.2,30.5,0
1304401,Urucurituba,AM,Municipal,218,7.8,46.4,0
1501006,Aveiro,PA,Municipal,106,22.5,64.4,1
1501204,Baião,PA,Municipal,261,4.8,38.1,0
1501501,Benevides,PA,Estadual,11,34.7,63.6,1
1501501,Benevides,PA,Municipal,1017,24.4,65.3,1
1502004,Cachoeira do Arari,PA,Estadual,15,41.6,60.0,1
1502004,Cachoeira do Arari,PA,Municipal,192,12.6,33.1,0
1502103,Cametá,PA,Municipal,1141,5.9,39.1,0
1502152,Canaã dos Carajás,PA,Municipal,1402,27.0,65.1,1
1502202,Capanema,PA,Estadual,30,6.7,53.6,0
1502202,Capanema,PA,Municipal,622,23.1,59.5,0
1502301,Capitão Poço,PA,Municipal,465,17.1,49.0,0
1502772,Curionópolis,PA,Municipal,271,19.3,72.9,1
1502905,Curuçá,PA,Municipal,315,5.7,33.5,0
1503044,Floresta do Araguaia,PA,Municipal,228,12.4,67.4,1
1503457,Ipixuna do Pará,PA,Municipal,328,6.3,43.0,0
1503507,Irituia,PA,Municipal,198,8.6,49.6,0
1503754,Jacareacanga,PA,Municipal,187,8.0,25.0,0
1503804,Jacundá,PA,Municipal,464,9.0,37.9,0
1504455,Medicilândia,PA,Municipal,292,10.0,48.4,0
1505106,Óbidos,PA,Municipal,538,9.2,54.0,0
1505403,Ourém,PA,Estadual,18,9.8,38.9,0
1505403,Ourém,PA,Municipal,129,11.3,56.3,0
1505437,Ourilândia do Norte,PA,Municipal,425,8.8,53.1,0
1505601,Peixe-Boi,PA,Municipal,70,26.2,84.3,1
1506005,Prainha,PA,Municipal,452,14.4,43.3,0
1506195,Rurópolis,PA,Municipal,320,23.1,54.8,0
1506559,Santa Luzia do Pará,PA,Municipal,158,12.6,39.8,0
1506708,Santana do Araguaia,PA,Municipal,561,17.6,58.5,0
1507102,São Caetano de Odivelas,PA,Municipal,140,5.1,69.9,1
1507409,São Francisco do Pará,PA,Municipal,103,8.6,37.4,0
1507755,Sapucaia,PA,Municipal,84,50.9,71.8,1
1508035,Tracuateua,PA,Municipal,193,7.8,37.2,0
1508084,Tucumã,PA,Municipal,467,24.7,48.5,0
1508209,Vigia,PA,Municipal,447,5.8,37.7,0
1508357,Vitória do Xingu,PA,Municipal,263,27.1,70.1,1
1600204,Calçoene,AP,Estadual,24,9.5,45.9,0
1600204,Calçoene,AP,Municipal,154,6.6,39.2,0
1600279,Laranjal do Jari,AP,Municipal,539,10.6,39.8,0
1600808,Vitória do Jari,AP,Municipal,170,5.7,35.4,0
1700251,Abreulândia,TO,Municipal,28,33.5,75.0,1
1700301,Aguiarnópolis,TO,Municipal,77,14.3,40.9,0
1702208,Araguatins,TO,Municipal,312,9.0,50.5,0
1702554,Augustinópolis,TO,Municipal,191,20.4,59.9,1
1703701,Brejinho de Nazaré,TO,Municipal,63,18.6,49.5,0
1703826,Cachoeirinha,TO,Municipal,25,13.9,64.0,1
1705557,Combinado,TO,Municipal,55,44.9,56.1,0
1707652,Figueirópolis,TO,Municipal,62,38.7,51.7,0
1709807,Ipueiras,TO,Municipal,14,19.1,21.4,0
1710508,Itacajá,TO,Municipal,44,28.2,41.1,0
1710706,Itaguatins,TO,Municipal,49,13.7,18.1,0
1712504,Marianópolis do Tocantins,TO,Municipal,58,13.8,36.7,0
1712702,Mateiros,TO,Municipal,22,29.6,9.1,0
1713700,Monte Santo do Tocantins,TO,Municipal,26,19.1,44.8,0
1715150,Novo Alegre,TO,Municipal,24,72.7,70.4,1
1716208,Paranã,TO,Municipal,120,10.7,68.4,1
1717008,Pindorama do Tocantins,TO,Municipal,56,31.9,33.8,0
1718451,Pugmil,TO,Municipal,22,17.0,40.9,0
1718808,Sampaio,TO,Municipal,85,16.5,43.2,0
1718865,Santa Fé do Araguaia,TO,Municipal,70,11.2,31.3,0
1718907,Santa Rosa do Tocantins,TO,Municipal,75,25.6,36.9,0
1719004,Santa Tereza do Tocantins,TO,Municipal,49,14.1,24.6,0
1720101,São Bento do Tocantins,TO,Municipal,76,13.2,52.9,0
1720200,São Miguel do Tocantins,TO,Municipal,165,8.0,36.9,0
1720655,Silvanópolis,TO,Municipal,75,21.3,37.4,0
1720903,Taguatinga,TO,Municipal,173,13.7,42.4,0
1721208,Tocantinópolis,TO,Municipal,218,9.0,35.4,0
1722081,Wanderlândia,TO,Municipal,94,10.6,41.9,0
2100154,Água Doce do Maranhão,MA,Municipal,119,51.7,63.7,1
2100303,Aldeias Altas,MA,Municipal,212,62.6,45.4,0
2100501,Alto Parnaíba,MA,Municipal,156,43.0,52.0,0
2100907,Araioses,MA,Municipal,239,37.8,42.5,0
2101004,Arari,MA,Municipal,319,73.1,72.4,1
2101707,Barreirinhas,MA,Municipal,762,39.5,78.5,1
2101772,Bela Vista do Maranhão,MA,Municipal,245,37.7,77.7,1
2101905,Bequimão,MA,Municipal,77,17.9,59.8,0
2102002,Bom Jardim,MA,Estadual,11,92.1,36.4,0
2102002,Bom Jardim,MA,Municipal,321,80.9,69.6,1
2102101,Brejo,MA,Municipal,272,51.8,58.1,0
2102200,Buriti,MA,Municipal,251,25.2,28.9,0
2102754,Capinzal do Norte,MA,Municipal,101,23.3,91.1,1
2102903,Carutapera,MA,Municipal,288,30.1,61.2,1
2103000,Caxias,MA,Municipal,1394,9.4,55.2,0
2103174,Centro Novo do Maranhão,MA,Municipal,178,18.3,36.9,0
2103208,Chapadinha,MA,Municipal,685,34.8,41.6,0
2103703,Cururupu,MA,Municipal,276,58.2,66.3,1
2104107,Fortaleza dos Nogueiras,MA,Municipal,194,30.9,78.2,1
2104206,Fortuna,MA,Municipal,310,37.0,72.1,1
2104701,Graça Aranha,MA,Municipal,72,76.8,75.7,1
2105500,João Lisboa,MA,Municipal,245,22.2,55.8,0
2105708,Lago da Pedra,MA,Municipal,410,81.0,79.4,1
2105906,Lago Verde,MA,Municipal,109,46.2,76.7,1
