variavel,hipotese,tipo,situacao,motivo,imputacao,indicador_ausencia,transformacao,codificacao
rede_taxa_ant,H8 inercia territorial,numérica,entra,"representa também mun_taxa_ajustada_ant, rede_media_portugues_ant, mun_taxa_ant, mun_meta_ciclo",mediana da UF,sem_rede_ant,,
rede_media_portugues_ant,H8 inercia territorial,numérica,sai,"redundante, representada por rede_taxa_ant (10.1)",,,,
uf_rede_taxa_ant,H8 inercia territorial,numérica,entra,sem variável redundante,mediana da UF,,,
rede_vs_uf,H8 inercia territorial,numérica,entra,sem variável redundante,mediana da UF,,,
rede_vs_municipio,H8 inercia territorial,numérica,entra,sem variável redundante,mediana da UF,sem_municipio_ant,,
mun_taxa_ant,H8 inercia territorial,numérica,sai,"redundante, representada por rede_taxa_ant (10.1)",,,,
mun_participacao_ant,H8 inercia territorial,numérica,entra,sem variável redundante,mediana da UF,sem_microdados_ant,,
mun_taxa_ajustada_ant,H8 inercia territorial,numérica,sai,"redundante, representada por rede_taxa_ant (10.1)",,,,
mun_alunos_ant,controle de escala,numérica,sai,"redundante, representada por mun_populacao (10.1)",,,,
mun_meta_ciclo,H8 inercia territorial,numérica,sai,"redundante, representada por rede_taxa_ant (10.1)",,,,
mun_gap_meta,H8 inercia territorial,numérica,entra,sem variável redundante,mediana da UF,sem_meta,,
rede_porte_atual,controle de escala,numérica,sai,"redundante, representada por mun_populacao (10.1)",,,,
mun_porte_atual,controle de escala,numérica,sai,"redundante, representada por mun_populacao (10.1)",,,,
rede_peso_no_municipio,controle de escala,numérica,entra,sem variável redundante,,,,
esc_quantidade,controle de escala,numérica,sai,"redundante, representada por mun_populacao (10.1)",,,,
esc_alunos_por_sala,H4 densidade da sala,numérica,entra,sem variável redundante,,,,
turma_media_alunos,H4 densidade da sala,numérica,entra,sem variável redundante,mediana da UF,,,
esc_pct_rural,H1 deslocamento e desgaste,numérica,entra,representa também esc_pct_alunos_zona_rural,mediana da UF,,,
esc_pct_alunos_zona_rural,H1 deslocamento e desgaste,numérica,sai,"redundante, representada por esc_pct_rural (10.1)",,,,
esc_pct_agua_rede,H2 infraestrutura basica,numérica,entra,sem variável redundante,,,,
esc_pct_esgoto_rede,H2 infraestrutura basica,numérica,entra,representa também mun_pct_esgoto_adequado,,,,
esc_pct_energia_rede,H2 infraestrutura basica,numérica,entra,sem variável redundante,,,,
esc_pct_internet,H3 recursos pedagogicos,numérica,entra,sem variável redundante,,,,
esc_pct_biblioteca_ou_sala_leitura,H3 recursos pedagogicos,numérica,entra,sem variável redundante,,,,
esc_pct_lab_informatica,H3 recursos pedagogicos,numérica,entra,sem variável redundante,,,,
esc_pct_quadra,H3 recursos pedagogicos,numérica,entra,sem variável redundante,,,,
esc_pct_alimentacao,H2 infraestrutura basica,numérica,entra,sem variável redundante,,,,
esc_pct_transporte,H1 deslocamento e desgaste,numérica,entra,sem variável redundante,,,,
esc_pct_area_diferenciada,H13 contexto linguistico e cultural,numérica,entra,sem variável redundante,,,"logarítmica, só em modelo linear",
esc_pct_coordenador,H5 suporte especializado,numérica,sai,hipótese sem evidência de relação com a resposta (11.2),,,,
esc_pct_psicologo,H5 suporte especializado,numérica,sai,hipótese sem evidência de relação com a resposta (11.2),,,,
esc_pct_assistente_social,H5 suporte especializado,numérica,sai,hipótese sem evidência de relação com a resposta (11.2),,,,
esc_pct_docentes_formacao_adequada,H10 corpo docente,numérica,entra,sem variável redundante,mediana da UF,,,
esc_pct_docentes_baixa_regularidade,H10 corpo docente,numérica,entra,sem variável redundante,mediana da UF,,,
esc_pct_docentes_alto_esforco,H10 corpo docente,numérica,entra,sem variável redundante,mediana da UF,,,
esc_alunos_por_docente,H4 densidade da sala,numérica,entra,sem variável redundante,,,,
esc_horas_aula_diarias,H11 tempo na escola,numérica,entra,sem variável redundante,mediana da UF,,,
mun_pib_per_capita,H9 recursos materiais,numérica,entra,sem variável redundante,,,"logarítmica, só em modelo linear",
mun_pct_agropecuaria,H1 deslocamento e desgaste,numérica,sai,"redundante, representada por mun_densidade_demografica (10.1)",,,,
mun_pct_servicos,H1 deslocamento e desgaste,numérica,entra,sem variável redundante,,,,
mun_populacao,controle de escala,numérica,entra,"representa também esc_quantidade, mun_porte_atual, rede_porte_atual, mun_alunos_ant",,,"logarítmica, só em modelo linear",
mun_idhm,H9 recursos materiais,numérica,sai,"redundante, representada por mun_pct_maes_adolescentes (10.1)",,,,
mun_idhm_educacao,H6 capital cultural,numérica,sai,"redundante, representada por mun_pct_maes_adolescentes (10.1)",,,,
mun_idhm_renda,H9 recursos materiais,numérica,sai,"redundante, representada por mun_pct_maes_adolescentes (10.1)",,,,
mun_renda_per_capita,H9 recursos materiais,numérica,sai,"redundante, representada por mun_pct_maes_adolescentes (10.1)",,,,
mun_gini,H7 vulnerabilidade e violencia,numérica,entra,sem variável redundante,mediana da UF,,,
mun_expectativa_estudo,H6 capital cultural,numérica,entra,sem variável redundante,mediana da UF,,,
mun_ivs,H7 vulnerabilidade e violencia,numérica,entra,sem variável redundante,mediana da UF,,,
mun_ivs_infraestrutura,H7 vulnerabilidade e violencia,numérica,sai,"redundante, representada por mun_pct_vulner_deslocamento_1h (10.1)",,,,
mun_ivs_capital_humano,H7 vulnerabilidade e violencia,numérica,sai,"redundante, representada por mun_pct_maes_adolescentes (10.1)",,,,
mun_taxa_homicidio,H7 vulnerabilidade e violencia,numérica,entra,sem variável redundante,,,,
mun_densidade_demografica,H1 deslocamento e desgaste,numérica,entra,representa também mun_pct_agropecuaria,,,"logarítmica, só em modelo linear",
mun_pessoas_por_domicilio,H6 capital cultural,numérica,sai,"redundante, representada por mun_idade_mediana (10.1)",,,,
mun_alfabetizacao_adulta,H6 capital cultural,numérica,sai,"redundante, representada por mun_pct_maes_adolescentes (10.1)",,,,
mun_idade_mediana,H9 recursos materiais,numérica,entra,representa também mun_pessoas_por_domicilio,,,,
mun_pct_esgoto_adequado,H7 vulnerabilidade e violencia,numérica,sai,"redundante, representada por esc_pct_esgoto_rede (10.1)",,,,
